simulation_index,StartDate,EndDate,Duration (in seconds),ResponseId,Division,Q2_1,Q3_7,Q3_15,Q3_16,Q3_17,Q4_2,Q4_8,Q5_5,Q5_9,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q8_1,Q8_2,Q8_3,Q8_4,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q12_3,Q13_4,Q13_5,Q14,Q15_4,Q15_10,Q15_9,Q15_7,Q15_8,Q15_11,Q15_5,Q15_12,Q16,Q17,Q18,Q19,Q20,Q20_4_TEXT,Q21,Q22,Q23,Q23_11_TEXT,Q24,Q24_11_TEXT,Q25,Q26_10,Q26_9,Q26_7,Q26_8,Q26_5,Q26_12,Q27_4,Q27_10,Q27_9,Q27_7,Q27_8,Q27_11
simulation_index,Start Date,End Date,Duration (in seconds),Response ID,Division,What does your free-time vs. obligations balance look like?,"Time Audit: Events and Extracurriculars
  
 
 Note: If your answer would be 20+, move the slider all the way to the right (20). - How many Crystal events do you attend per semester? (e.g., sports games, homecoming, dances, lunar banquet, etc.)","Time Audit: Events and Extracurriculars
  
 
 Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend volunteering and/or doing community service?","Time Audit: Events and Extracurriculars
  
 
 Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *Crystal* extracurriculars?","Time Audit: Events and Extracurriculars
  
 
 Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *non-Crystal* extracurriculars?",Time Audit: Homework - How many hours do you spend on homework on a typical weekday?,Time Audit: Homework - How many hours do you spend on homework on a typical weekend (both days combined)?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekday?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekend day?,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - No Homework Weekends,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Late Starts,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Limit on Number of Major Assessments Per Day,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Time Limits for Homework Duration,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - ERFs (Extension Request Forms),What is your level of satisfaction with the Crystal sports experience?,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Clubs-Period Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - After School Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Sports,"What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Fine Arts (e.g., Theater/Cru, Music, Dance, Visual Arts)","If you had to choose one *specific* Crystal extracurricular that you find most engaging, what would it be?",What categories of events should Crystal focus on improving? (Drag to rank) - Arts,What categories of events should Crystal focus on improving? (Drag to rank) - Culture/Holidays,What categories of events should Crystal focus on improving? (Drag to rank) - Sports,What categories of events should Crystal focus on improving? (Drag to rank) - Dances,"During Spirit Weeks, how many days do you typically participate?",Do you feel that Crystal has enough extracurricular activities related to your academic interests?,How well do each of the following categories align with your academic interests? - STEM,How well do each of the following categories align with your academic interests? - Humanities,Which subject assigns the most homework? (Select one),"If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - CADS","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - English","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Fine Arts","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - History","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Math","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Mind/Body","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Science","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - World Language","If you had unlimited time and no graduation requirements, would you be interested in taking an interdisciplinary elective at Crystal (e.g., Climate Change and Policy, Bioethics, History of Art, Artificial Intelligence in Literature, etc.)?","If you answered yes to the previous question, which two departments would you most like to collaborate? (Select 2)","If you would like to explain your interests in interdisciplinary collaboration/electives in more detail, please do so below.",What is your grade level?,What is your gender identity? - Selected Choice,What is your gender identity? - Other (optional specification) - Text,How many people do you live with (including yourself)?,How long is your average commute to school?,What is your racial or ethnic identification? (select all that apply) - Selected Choice,What is your racial or ethnic identification? (select all that apply) - Prefer to self-describe - Text,With what religious affiliation do you most closely identify? - Selected Choice,With what religious affiliation do you most closely identify? - Other (optional specification) - Text,What is the highest level of education completed by either of your parents or guardians?,What is your favorite subject? (Drag to rank) - English,What is your favorite subject? (Drag to rank) - Fine Arts,What is your favorite subject? (Drag to rank) - History,What is your favorite subject? (Drag to rank) - Math,What is your favorite subject? (Drag to rank) - Science,What is your favorite subject? (Drag to rank) - World Language,What is your favorite Crystal tradition? (Drag to rank) - Snow Day,What is your favorite Crystal tradition? (Drag to rank) - Lip Sync,What is your favorite Crystal tradition? (Drag to rank) - PoP Week,What is your favorite Crystal tradition? (Drag to rank) - Secret Gryphon,What is your favorite Crystal tradition? (Drag to rank) - Trivia Bowl,What is your favorite Crystal tradition? (Drag to rank) - Halls
91,2/22/2021 11:29:58,2/22/2021 11:35:21,323,R_3F3z1t65lL2a64J,US,8.5,15,3,2,2,3.5,6.5,7.5,10,1,2,5,3,4,8.5,2,4,1,3,"Sports, more specifically soccer",2,1,3,4,3,4,8,7,Math,4,6,3,2,8,7,1,5,Yes,"Mind/Body,Science",,9,Female,,5,Less than 15 minutes,Asian: East Asian,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"College Degree (e.g., Associate's degree, Bachelor's degree)",,,,,,,,,,,,
91,2/22/2021 12:28:08,2/22/2021 13:14:24,2776,R_1q57cb2AWDWNCf3,US,7,8,1,3,6,4,9,8,11,3,4,1,2,5,8,1,4,2,3,sports,1,3,2,4,1,4,1,9,History,3,4,5,1,6,8,7,2,Yes,"History,Science",I would have loved to take a climate change/policy class as I hope to work in that field one day,12,Female,,4,Less than 15 minutes,"Asian: East Asian,Multiracial,White",,Jewish,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)",,,,,,,,,,,,
91,2/22/2021 11:35:41,2/22/2021 11:40:53,311,R_sHwA80Ts76HvsGt,MS,6.8,8,3,0,4,1.7,0.8,9,10,2,1,3,4,,6.5,2,3,4,1,Drama,3,2,4,1,5,4,,,Math,,,,,,,,,,,,6,Female,,4,30 to 60 minutes,"Hispanic or Latina/o/x,White",,"Christian (Protestant, Catholic, Orthodox, etc.)",,"College Degree (e.g., Associate's degree, Bachelor's degree)",2,1,3,6,5,4,1,3,2,4,6,5
91,2/22/2021 11:35:31,2/22/2021 11:44:40,548,R_DeE1LPje6UxKzbr,MS,3.7,5,2,2,2,0.7,0.5,9.5,9.5,2,1,4,3,,3,2,3,1,4,AMC 8 Math Quiz,3,2,1,4,4,2.5,,,Math,,,,,,,,,,,,6,Male,,5,15 to 30 minutes,"Asian: Indian or South/Southeast Asian,White",,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)",2,6,4,5,1,3,3,5,1,4,2,6
91,2/22/2021 11:40:04,2/22/2021 11:45:21,317,R_2bPqcCQaJA156LK,MS,6.3,12,2,5,5,2.5,2.5,8.5,10,4,2,3,1,,9.5,3,4,2,1,sports,1,2,3,4,3,3.2,,,Math,,,,,,,,,,,,8,Female,,5,30 to 60 minutes,White,,Not sure/Prefer not to answer,,"College Degree (e.g., Associate's degree, Bachelor's degree)",2,4,1,6,3,5,2,3,1,6,4,5
91,2/22/2021 11:35:27,2/22/2021 11:42:03,395,R_2tbVBWjGHD01mwl,MS,4,1,0,1,3,2.5,2,7.5,12,3,1,4,2,,5,1,2,4,3,Debate,2,1,4,3,2,2,,,Math,,,,,,,,,,,,8,Female,,6 or more,30 to 60 minutes,White,,Agnostic,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)",2,6,4,3,1,5,1,3,2,4,5,6
91,2/22/2021 11:36:23,2/22/2021 11:43:55,451,R_1DvYRUR7HrZtwjY,US,7,16,1,3,6,3.5,9.3,6.7,8,1,2,4,3,5,2.6,2,4,1,3,,4,1,2,3,5,2.7,9,4,Science,8,5,1,7,2,3,4,6,Yes,"Fine Arts,Science",,11,Male,,4,Less than 15 minutes,Asian: East Asian,,Atheist,,"College Degree (e.g., Associate's degree, Bachelor's degree)",,,,,,,,,,,,
91,2/22/2021 11:36:15,2/22/2021 11:42:40,384,R_2P0aIcAeYTWzM80,MS,3,6,1,3,4,3,1.8,9.5,10.4,4,1,3,2,,8.7,2,4,3,1,the play and musical,1,2,4,3,4,5,,,Math,,,,,,,,,,,,7,Female,,4,15 to 30 minutes,Asian: East Asian,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"College Degree (e.g., Associate's degree, Bachelor's degree)",2,4,6,5,1,3,1,2,3,4,6,5
91,2/22/2021 11:35:36,2/22/2021 11:40:46,309,R_Q0bEzFqIV11aUzT,MS,10,4,10,1,5,3,4,6,10.5,2,4,1,3,,5,3,2,4,1,,2,1,3,4,1,2,,,World Language,,,,,,,,,,,,7,Male,,4,Less than 15 minutes,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)",1,2,3,4,5,6,1,2,3,4,5,6
